Portrait,Name,Reign,Succession,Life details,Period,Epoch
,Augustus Caesar Augustus,"16 January 27 BC – 19 August AD 14  (40 years, 7 months and 3 days)[g]","Grandnephew and adopted son of Julius Caesar. Gradually acquired further power through grants from, and constitutional settlements with, the Roman Senate.",23 September 63 BC – 19 August 14 (aged 75)Born as Gaius Octavius; first elected Roman consul on 19 August 43 BC. Died of natural causes[53],Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD)
,Tiberius Tiberius Caesar Augustus,"17 September 14 – 16 March 37 (22 years, 5 months and 27 days)","Stepson, former son-in-law and adopted son of Augustus","16 November 42 BC – 16 March 37 (aged 77)Died probably of natural causes, allegedly murdered at the instigation of Caligula[54]",Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD)
,Caligula Gaius Caesar Augustus Germanicus,"18 March 37 – 24 January 41 (3 years, 10 months and 6 days)","Grandnephew and adopted heir of Tiberius, great-grandson of Augustus",31 August 12 – 24 January 41 (aged 28)Murdered in a conspiracy involving the Praetorian Guard and senators[55],Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD)
,Claudius Tiberius Claudius Caesar Augustus Germanicus,"24 January 41 – 13 October 54 (13 years, 8 months and 19 days)","Uncle of Caligula, grandnephew of Augustus, proclaimed emperor by the Praetorian Guard and accepted by the Senate","1 August 10 BC – 13 October 54 (aged 63)Began the Roman conquest of Britain. Probably poisoned by his wife Agrippina, in favor of her son Nero[56]",Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD)
,Nero Nero Claudius Caesar Augustus Germanicus,"13 October 54 – 9 June 68 (13 years, 7 months and 27 days)","Grandnephew, stepson, son-in-law and adopted son of Claudius, great-great-grandson of Augustus",15 December 37 – 9 June 68 (aged 30)Committed suicide after being deserted by the Praetorian Guard and sentenced to death by the Senate[57],Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD)
,Galba Servius Galba Caesar Augustus,8 June 68 – 15 January 69 (7 months and 7 days),"Governor of Hispania Tarraconensis, revolted against Nero and seized power after his suicide, with support of the Senate and Praetorian Guard",24 December 3 BC – 15 January 69 (aged 72)Murdered by soldiers of the Praetorian Guard in a coup led by Otho[58],Year of the Four Emperors (68-69),Principate (27 BC-284 AD)
,Otho Marcus Otho Caesar Augustus,15 January – 16 April 69 (3 months and 1 day),Seized power through a coup against Galba,28 April 32 – 16 April 69 (aged 36)Committed suicide after losing the Battle of Bedriacum to Vitellius[59],Year of the Four Emperors (68-69),Principate (27 BC-284 AD)
,Vitellius Aulus Vitellius Germanicus Augustus,19 April – 20 December 69 (8 months and 1 day),"Governor of Germania Inferior, proclaimed emperor by the Rhine legions on 2 January in opposition to Galba and Otho, later recognized by the Senate",24 September 15 – 20/22 December 69 (aged 54)Murdered by Vespasian's troops[60],Year of the Four Emperors (68-69),Principate (27 BC-284 AD)
,Vespasian Caesar Vespasianus Augustus,"1 July 69 – 23 June 79 (9 years, 11 months and 22 days)","Proclaimed by the eastern legions on 1 July 69 in opposition to Vitellius, later recognized by the Senate",17 November 9 – 23 June 79 (aged 69)Began construction of the Colosseum; died of dysentery[61],Flavian dynasty (69-96),Principate (27 BC-284 AD)
,Titus Titus Caesar Vespasianus Augustus,"24 June 79 – 13 September 81 (2 years, 2 months and 20 days)",Son of Vespasian,30 December 39 – 13 September 81 (aged 41)Died of natural causes[62],Flavian dynasty (69-96),Principate (27 BC-284 AD)
,Domitian Caesar Domitianus Augustus,14 September 81 – 18 September 96 (15 years and 4 days),Brother of Titus and son of Vespasian,"24 October 51 – 18 September 96 (aged 44)Assassinated in a conspiracy of court officials, possibly involving Nerva[63]",Flavian dynasty (69-96),Principate (27 BC-284 AD)
,Nerva Nerva Caesar Augustus,"18 September 96 – 27 January 98 (1 year, 4 months and 9 days)",Proclaimed emperor by the Senate after the murder of Domitian,"8 November 30 – 27 January 98 (aged 67)First of the ""Five Good Emperors"". Died of natural causes[64]",Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD)
,Trajan Caesar Nerva Traianus Augustus,"28 January 98 – 7/11 August 117 (19 years, 6 months and 10/14 days)",Adopted son of Nerva,18 September 53 – 7/11 August 117 (aged 63)First non-Italian emperor. His reign marked the geographical peak of the empire. Died of natural causes[65],Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD)
,Hadrian Caesar Traianus Hadrianus Augustus,"11 August 117 – 10 July 138 (20 years, 10 months and 29 days)","Cousin of Trajan, allegedly adopted on his deathbed",24 January 76 – 10 July 138 (aged 62)Ended Roman expansionism. Destroyed Judea after a massive revolt. Died of natural causes[66],Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD)
,Antoninus Pius Titus Aelius Hadrianus Antoninus Pius[h],"10 July 138 – 7 March 161 (22 years, 7 months and 25 days)",Adopted son of Hadrian,19 September 86 – 7 March 161 (aged 74)Died of natural causes[68],Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD)
