Common Name,Full Name,Certainty Begin First Reign,Era Begin First Reign,Begin First Reign,Certainty End First Reign,End First Reign,Days of First Reign,Years of First Reign,Certainty Begin Second Reign,Begin Second Reign,Certainty End Second Reign,End Second Reign,Days of Second Reign,Years of Second Reign,Part of Empire,Period,Epoch,Legitimacy,Status as Emperor,Succession 1,Succession 2,Succession 3,Certainty Birth,Era Birth,Date of Birth,Certainty Death,Date of Death,Age,Life details 1,Life details 2,Life details 3,Life details 4
Augustus,Caesar Augustus,certain,BC,0027-01-16 ,certain,0014-08-19 ,14813,40.58,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD),strong,canonical,Grandnephew and adopted son of Julius Caesar,"Gradually acquired further power through grants from, and constitutional settlements with, the Roman Senate",No information,certain,BC,0063-09-23 ,certain,0014-08-19 ,75,Born as Gaius Octavius,First elected Roman consul on 19 August 43 BC,Died of natural causes,No information
Tiberius,Caesar Augustus,certain,AD,0014-09-17 ,certain,0037-03-16 ,8207,22.48,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD),strong,canonical,"Stepson, former son-in-law and adopted son of Augustus",No information,No information,certain,BC,0042-11-16 ,certain,0037-03-16 ,77,"Died probably of natural causes, allegedly murdered at the instigation of Caligula",No information,No information,No information
Caligula,Gaius Caesar Augustus Germanicus,certain,AD,0037-03-18 ,certain,0041-01-24 ,1401,3.84,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD),strong,canonical,"Grandnephew and adopted heir of Tiberius, great-grandson of Augustus",No information,No information,certain,AD,0012-08-31 ,certain,0041-01-24 ,28,Murdered in a conspiracy involving the Praetorian Guard and senators,No information,No information,No information
Claudius,Tiberius Caesar Augustus Germanicus,certain,AD,0041-01-24 ,certain,0054-10-13 ,5004,13.71,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD),strong,canonical,"Uncle of Caligula, grandnephew of Augustus, proclaimed emperor by the Praetorian Guard and accepted by the Senate",No information,No information,certain,BC,0010-08-01 ,certain,0054-10-13 ,63,Began the Roman conquest of Britain,"Probably poisoned by his wife Agrippina, in favor of her son Nero",No information,No information
Nero,Claudius Caesar Augustus Germanicus,certain,AD,0054-10-13 ,certain,0068-06-09 ,4982,13.65,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Julio-Claudian dynasty (27 BC-68 AD),Principate (27 BC-284 AD),strong,canonical,"Grandnephew, stepson, son-in-law and adopted son of Claudius, great-great-grandson of Augustus",No information,No information,certain,AD,0037-12-15 ,certain,0068-06-09 ,30,Committed suicide after being deserted by the Praetorian Guard and sentenced to death by the Senate,No information,No information,No information
Galba,Servius Caesar Augustus,certain,AD,0068-06-08 ,certain,0069-01-15 ,217,0.59,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Year of the Four Emperors (68-69),Principate (27 BC-284 AD),strong,canonical,"Governor of Hispania Tarraconensis, revolted against Nero and seized power after his suicide, with support of the Senate and Praetorian Guard",No information,No information,certain,BC,0003-12-24 ,certain,0069-01-15 ,72,Murdered by soldiers of the Praetorian Guard in a coup led by Otho,No information,No information,No information
Otho,Marcus Caesar Augustus,certain,AD,0069-01-15 ,certain,0069-04-16 ,91,0.25,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Year of the Four Emperors (68-69),Principate (27 BC-284 AD),strong,canonical,Seized power through a coup against Galba,No information,No information,certain,AD,0032-04-28 ,certain,0069-04-16 ,36,Committed suicide after losing the Battle of Bedriacum to Vitellius,No information,No information,No information
Vitellius,Aulus Germanicus Augustus,certain,AD,0069-04-19 ,certain,0069-12-20 ,241,0.66,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Year of the Four Emperors (68-69),Principate (27 BC-284 AD),strong,canonical,"Governor of Germania Inferior, proclaimed emperor by the Rhine legions on 2 January in opposition to Galba and Otho, later recognized by the Senate",No information,No information,certain,AD,0015-09-24 ,certain,0069-12-??,54,Murdered by Vespasian's troops,No information,No information,No information
Vespasian,Caesar Vespasianus Augustus,certain,AD,0069-07-01 ,certain,0079-06-23 ,3637,9.96,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Flavian dynasty (69-96),Principate (27 BC-284 AD),strong,canonical,"Proclaimed by the eastern legions on 1 July 69 in opposition to Vitellius, later recognized by the Senate",No information,No information,certain,AD,0009-11-17 ,certain,0079-06-23 ,69,Began construction of the Colosseum,Died of dysentery,No information,No information
Titus,Caesar Vespasianus Augustus,certain,AD,0079-06-24 ,certain,0081-09-13 ,810,2.22,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Flavian dynasty (69-96),Principate (27 BC-284 AD),strong,canonical,Son of Vespasian,No information,No information,certain,AD,0039-12-30 ,certain,0081-09-13 ,41,Died of natural causes,No information,No information,No information
Domitian,Caesar Domitianus Augustus,certain,AD,0081-09-14 ,certain,0096-09-18 ,5479,15.01,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Flavian dynasty (69-96),Principate (27 BC-284 AD),strong,canonical,Brother of Titus and son of Vespasian,No information,No information,certain,AD,0051-10-24 ,certain,0096-09-18 ,44,"Assassinated in a conspiracy of court officials, possibly involving Nerva",No information,No information,No information
Nerva,Caesar Augustus,certain,AD,0096-09-18 ,certain,0098-01-27 ,494,1.35,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,Proclaimed emperor by the Senate after the murder of Domitian,No information,No information,certain,AD,0030-11-08 ,certain,0098-01-27 ,67,"First of the ""Five Good Emperors""",Died of natural causes,No information,No information
Trajan,Caesar Nerva Traianus Augustus,certain,AD,0098-01-28 ,certain,0117-08-??,7115,19.49,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,Adopted son of Nerva,No information,No information,certain,AD,0053-09-18 ,certain,0117-08-??,63,First non-Italian emperor,His reign marked the geographical peak of the empire,Died of natural causes,No information
Hadrian,Caesar Traianus Hadrianus Augustus,certain,AD,0117-08-11 ,certain,0138-07-10 ,7629,20.9,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,"Cousin of Trajan, allegedly adopted on his deathbed",No information,No information,certain,AD,0076-01-24 ,certain,0138-07-10 ,62,Ended Roman expansionism,Destroyed Judea after a massive revolt,Died of natural causes,No information
Antoninus Pius,Titus Aelius Hadrianus Antoninus Pius,certain,AD,0138-07-10 ,certain,0161-03-07 ,8265,22.64,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,Adopted son of Hadrian,No information,No information,certain,AD,0086-09-19 ,certain,0161-03-07 ,74,Died of natural causes,No information,No information,No information
Marcus Aurelius,Antoninus,certain,AD,0161-03-07 ,certain,0180-03-17 ,6945,19.03,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,Son-in-law and adopted son of Antoninus Pius,"Until 169 reigned jointly with his adoptive brother, Lucius Verus, the first time multiple emperors shared power",Since 177 reigned jointly with his son Commodus,certain,AD,0121-04-26 ,certain,0180-03-17 ,58,"Last of the ""Five Good Emperors""",Also one of the most representative Stoic philosophers,Died of natural causes,No information
Lucius Verus,Lucius Aurelius Verus,certain,AD,0161-03-07 ,certain,0169-01-??,2885,7.9,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,"Adopted son of Antoninus Pius, joint emperor with his adoptive brother, Marcus Aurelius",No information,No information,certain,AD,0130-12-15 ,certain,0169-??-??,38,Died of natural causes,No information,No information,No information
Commodus,Marcus Aurelius Antoninus / Lucius Aelius Aurelius Commodus,certain,AD,0180-03-17 ,certain,0192-12-31 ,4664,12.78,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Nerva-Antonine dynasty (96-192),Principate (27 BC-284 AD),strong,canonical,Son of Marcus Aurelius,"Proclaimed co-emperor in 177, at age 16, becoming the first emperor to be elevated during predecessor's lifetime",No information,certain,AD,0161-08-31 ,certain,0192-12-31 ,31,"Strangled to death in a conspiracy involving his praetorian prefect, Laetus, and mistress, Marcia",No information,No information,No information
Pertinax,Publius Helvius Pertinax,certain,AD,0193-01-01 ,certain,0193-03-28 ,87,0.24,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Year of the Five Emperors (193),Principate (27 BC-284 AD),strong,canonical,"City prefect of Rome at Commodus's death, set up as emperor by the praetorian prefect, Laetus, with consent of the Senate",No information,No information,certain,AD,0126-08-01 ,certain,0193-03-28 ,66,Murdered by mutinous soldiers of the Praetorian Guard,No information,No information,No information
Didius Julianus,Marcus Didius Severus Julianus,certain,AD,0193-03-28 ,certain,0193-06-01 ,64,0.18,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Year of the Five Emperors (193),Principate (27 BC-284 AD),strong,canonical,Won auction held by the Praetorian Guard for the position of emperor,No information,No information,certain,AD,0133-01-30 ,certain,0193-06-??,60,"Killed on order of the Senate, at the behest of Septimius Severus",No information,No information,No information
Septimius Severus,Lucius Pertinax,certain,AD,0193-04-09 ,certain,0211-02-04 ,6501,17.81,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,"Governor of Upper Pannonia, acclaimed emperor by the Pannonian legions following the murder of Pertinax",No information,No information,certain,AD,0145-04-11 ,certain,0211-02-04 ,65,First non-European emperor,Died of natural causes,No information,No information
Caracalla,Marcus Aurelius Antoninus,certain,AD,0211-02-04 ,certain,0217-04-08 ,2254,6.18,certain,No second reign,certain,No second reign,0,0.0,Whole empire,Severan dynasty (193-235),Principate (27 BC-284 AD),strong,canonical,"Son of Septimius Severus, proclaimed co-emperor on 28 January 198, at age 10","Succeeded jointly with his brother, Geta, in 211",No information,certain,AD,0188-04-04 ,certain,0217-04-08 ,29,First child emperor,Granted Roman citizenship to all free inhabitants of the empire,Murdered by a soldier at the instigation of Macrinus,No information
